Data;2019/01;2019/02;2019/03;2019/04;2019/05;2019/06;2019/07;2019/08;2019/09;2019/10;2019/11;2019/12;1019/01;2020/01;2020/02;2020/03;2020/04;2020/05;2020/06;2020/07;2020/08;2020/09;2020/10;2020/11;1020/01;100/01
ARICANDUVA-FORMOSA-CARRAO;20;28;27;24;36;39;21;5;14;11;47;65;337;16;29;16;30;0;12;27;10;35;23;27;225;562
BUTANTA;33;6;10;39;26;7;4;4;0;3;30;2;164;27;15;21;7;2;4;49;41;438;225;194;1023;1187
CAMPO LIMPO;14;2;21;43;12;32;8;28;19;23;8;9;219;14;13;18;21;4;5;2;3;11;155;14;260;479
CAPELA DO SOCORRO;70;68;43;82;45;33;57;89;53;35;23;4;602;22;14;32;6;0;0;2;7;19;42;11;155;757
CASA VERDE-CACHOEIRINHA;6;22;17;26;22;16;14;0;11;103;31;81;349;76;24;21;1;10;0;1;9;23;25;11;201;550
CIDADE ADEMAR;11;27;24;4;47;14;20;0;4;4;7;9;171;17;17;36;14;4;2;20;5;4;3;7;129;300
CIDADE TIRADENTES;0;3;7;4;0;2;0;0;0;4;2;0;22;2;2;0;0;0;0;0;0;0;0;2;6;28
ERMELINO MATARAZZO;10;19;15;16;6;18;12;0;9;6;0;5;116;12;10;8;21;4;1;10;10;26;71;11;184;300
FREGUESIA-BRASILANDIA;6;6;10;24;19;16;4;8;4;9;12;3;121;6;6;6;4;4;0;2;4;7;3;2;44;165
GUAIANASES;8;10;4;4;0;4;21;0;0;0;0;10;61;4;14;4;2;0;0;0;1;12;8;0;45;106
IPIRANGA;26;13;18;50;91;16;4;11;12;77;15;13;346;18;16;19;5;0;5;151;126;64;119;9;532;878
ITAIM PAULISTA;1;5;18;10;15;5;1;0;2;25;5;0;87;11;4;4;2;14;2;4;1;0;16;2;60;147
ITAQUERA;16;25;15;22;23;14;3;4;12;13;4;1;152;14;5;7;16;11;4;3;5;27;22;16;130;282
JABAQUARA;5;11;26;5;18;23;6;10;2;4;0;0;110;4;1;31;2;10;11;7;2;5;10;2;85;195
JACANA-TREMEMBE;11;21;6;16;16;5;4;41;0;13;30;2;165;11;6;34;12;4;12;16;8;12;19;12;146;311
LAPA;26;25;35;33;14;23;14;34;15;18;41;39;317;32;65;20;1;5;4;4;13;49;118;511;822;1139
M'BOI MIRIM;4;8;13;25;16;11;0;4;67;35;20;9;212;18;69;36;20;0;0;9;2;10;28;4;196;408
MOOCA;10;10;21;17;15;28;15;17;10;28;23;32;226;9;49;43;9;2;0;8;25;26;11;19;201;427
PARELHEIROS;2;3;0;1;0;2;1;1;4;8;4;0;26;10;1;1;0;0;0;0;0;0;4;8;24;50
PENHA;16;7;53;17;28;18;9;12;32;10;8;6;216;27;11;20;0;42;1;13;40;109;49;32;344;560
PERUS;6;3;1;3;3;9;4;0;0;8;0;0;37;0;0;4;0;0;1;0;0;0;0;0;5;42
PINHEIROS;24;30;23;40;18;28;22;30;15;9;8;14;261;23;20;13;5;15;3;126;229;1260;603;172;2469;2730
PIRITUBA-JARAGUA;5;1;12;12;20;54;6;5;9;27;15;20;186;23;16;10;6;4;11;14;8;8;15;61;176;362
SANTANA-TUCURUVI;17;19;25;13;11;18;11;21;32;100;23;23;313;41;10;18;66;9;47;41;16;82;24;16;370;683
SANTO AMARO;32;107;26;49;60;51;20;18;72;46;58;27;566;42;17;39;26;19;126;67;43;340;1004;90;1813;2379
SAO MATEUS;9;8;2;11;5;10;0;0;0;0;10;2;57;21;10;13;2;1;2;3;2;8;16;0;78;135
SAO MIGUEL;10;7;9;14;21;14;7;7;6;9;9;6;119;4;3;9;1;19;11;3;6;12;3;0;71;190
SAPOPEMBA;7;3;2;13;15;18;5;0;1;1;20;7;92;4;8;11;8;1;6;4;9;21;13;2;87;179
SE;42;36;42;45;44;15;27;35;29;44;18;4;381;46;19;27;25;11;12;18;15;16;10;7;206;587
VILA MARIANA;16;5;13;10;10;87;18;12;4;8;0;0;183;17;14;19;56;24;26;17;42;17;66;7;305;488
VILA MARIA-VILA GUILHERME;17;20;14;31;55;26;5;4;8;9;8;5;202;8;10;13;6;11;15;7;5;8;12;16;111;313
VILA PRUDENTE;10;13;0;16;25;32;12;0;0;0;9;4;121;7;17;15;16;17;16;3;11;8;13;7;130;251
Total geral;490;571;552;719;736;688;355;400;446;690;488;402;6537;586;515;568;390;247;339;631;698;2657;2730;1272;10633;17170
